,From,From_FAF_Zone,To,To_FAF_Zone,trips,sctg2_code
3613432,120510003002,129,120111106001,122,0.8938916512991953,1
3622618,120510002002,129,121050157021,129,0.7092752362852097,1
3642926,120510004022,129,121079506003,121,0.5341121303325831,1
3745886,121050153021,129,121079506003,121,2.6438551134911714,1
3746592,121050153021,129,120210102102,129,0.7593373444385015,1
3748458,121050153021,129,121050157021,129,0.6097141140110219,1
3750712,121050153021,129,120111106001,122,0.6821607610729035,1
4203486,120759705001,129,121079506003,121,1.3426356979167946,1
4214926,120759701024,129,121079506003,121,0.7982203085114659,1
4226366,120759703021,129,121079506003,121,0.6798544926361182,1
4237806,120759704003,129,121079506003,121,1.5497612355955797,1
4249246,120759702001,129,121079506003,121,1.770287555568774,1
4249952,120759702001,129,120210102102,129,0.5084414211953778,1
4260686,120759703012,129,121079506003,121,0.757180809311576,1
4282466,120759701023,129,120419502042,129,0.9642305194653015,1
4375087,121199101001,123,121079507001,121,5.63472175111409,1
4376580,121199101001,123,120310102021,121,0.9226711347542923,1
4386526,121199113021,123,121079506003,121,0.8448758949792612,1
4592340,120970410021,123,120310106002,121,2.097178446229781,1
4601445,120970432061,123,120310003003,121,0.8025210685522917,1
4602209,120970432061,123,120990080021,122,0.6457981874519546,1
4603171,120970432061,123,120860091002,122,1.5438396056958374,1
4603886,120970432061,123,121079506003,121,9.088550681973048,1
4603910,120970432061,123,120860005033,122,0.5350894280279297,1
4604027,120970432061,123,120210109053,129,0.8105280098034965,1
4604592,120970432061,123,120210102102,129,2.6103079190792413,1
4605058,120970432061,123,120990037002,122,0.8760317937824236,1
4605839,120970432061,123,120499701011,129,0.6211784408238695,1
4605852,120970432061,123,120310027011,121,1.325793769828549,1
4606155,120970432061,123,120990077591,122,12.39819507919896,1
4607327,120970432061,123,120950169023,123,0.7267547885895898,1
4607497,120970432061,123,120150304012,129,1.0159138269918477,1
4607771,120970432061,123,120710401131,129,0.5148383684541741,1
4608712,120970432061,123,120111106001,122,2.345004693573235,1
4608887,120970432061,123,120310103011,121,0.5003634096463218,1
4608930,120970432061,123,120010019084,129,1.0542732988106134,1
4609129,120970432061,123,120010021012,129,0.8844586025353945,1
4609438,120970432061,123,120111005011,122,5.2889120828514296,1
4609824,120970432061,123,120010018014,129,0.8725318478182318,1
4609828,120970432061,123,120010020002,129,10.468737842962685,1
4609896,120970432061,123,121150020052,129,0.8144663891968567,1
4626766,120970432011,123,121079506003,121,3.3993962391111165,1
4627472,120970432011,123,120210102102,129,0.9763350872477693,1
4631592,120970432011,123,120111106001,122,0.8771035575388575,1
4649646,120970408042,123,121079506003,121,5.213377056455922,1
4650352,120970408042,123,120210102102,129,1.4973255793803417,1
4650818,120970408042,123,120990037002,122,0.5025096095343257,1
4651612,120970408042,123,120310027011,121,0.7605022036050137,1
4653257,120970408042,123,120150304012,129,0.5827487816600739,1
4654472,120970408042,123,120111106001,122,1.3451422668528392,1
4798366,120632103003,129,121079506003,121,1.1893461846154527,1
4832686,120632101002,129,121079506003,121,0.5510415852867977,1
4846220,120632110003,129,120310174002,121,0.7064333157202152,1
4846222,120632110003,129,120310118003,121,0.6032552228582257,1
4883447,120632104003,129,120310103011,121,2.0423546749494386,1
4889886,120632111002,129,121079506003,121,0.6111379680352385,1
4935646,120632108002,129,121079506003,121,0.8963496759478617,1
4976890,120679601001,129,120679602001,129,0.9068076715019437,1
5439006,120830026012,129,121079506003,121,1.5676399191755643,1
5553406,120830027023,129,121079506003,121,0.7744046774292742,1
5610606,120679602001,129,121079506003,121,2.029306961906059,1
5611312,120679602001,129,120210102102,129,0.5828339653111836,1
5615432,120679602001,129,120111106001,122,0.5235966125830597,1
5617531,120679601002,129,120679601002,129,0.6492859493040516,1
5628972,120679602004,129,120679602004,129,2.017498335685656,1
5633486,120679602004,129,121079506003,121,1.4835396687867133,1
5759326,120810019141,129,121079506003,121,5.074190524102327,1
5760032,120810019141,129,120210102102,129,1.457350040887455,1
5761292,120810019141,129,120310027011,121,0.7401983461589144,1
5762937,120810019141,129,120150304012,129,0.5671905779709504,1
5764152,120810019141,129,120111106001,122,1.3092297123573506,1
5770766,120810019131,129,121079506003,121,0.9147773353273098,1
5793646,121259601002,129,121079506003,121,0.7682217356236926,1
5800396,120430003002,129,120510002002,129,0.5220592098889151,1
5801376,120430003002,129,121050122041,129,0.5381197163698043,1
5802645,120430003002,129,120310003003,121,1.9652706995119373,1
5803409,120430003002,129,120990080021,122,1.5814765559822146,1
5804562,120430003002,129,120860052023,122,0.5363079502279071,1
5804832,120430003002,129,121030252081,124,0.8040675570123865,1
5804954,120430003002,129,120730025091,129,0.5981409211802249,1
5805086,120430003002,129,121079506003,121,22.256689644961043,1
5805087,120430003002,129,121079507001,121,0.9504929626256455,1
5805227,120430003002,129,120210109053,129,1.9848786670162573,1
5805541,120430003002,129,120990011021,122,0.6190079642991758,1
5805792,120430003002,129,120210102102,129,6.392307779937287,1
5805943,120430003002,129,120310002002,121,0.5573792548729755,1
