,sctg2,rmse,iter_count,top_rop,top_attr,top_orig,top_dest,threshold
22,3,140743.96692067265,21,"[120990079121.0, 120990080021.0, 121150020102.0, 120610509023.0, 120110601204.0, 120990083011.0, 121050116062.0, 120950169023.0, 120860052023.0, 120990058081.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[121050116062, 120570125013, 120610502004, 120950169023, 120990079121, 120990079121, 121170206001, 120939101011, 120950170081, 120990080021]","[121050116062, 120570125013, 120090650011, 121050116062, 120710104073, 121050116062, 121170206001, 120710017033, 120950170081, 120710104073]",1000
23,3,140743.99761733584,22,"[120990079121.0, 120990080021.0, 121150020102.0, 120610509023.0, 120110601204.0, 120990083011.0, 121050116062.0, 120950169023.0, 120860052023.0, 120990058081.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[121050116062, 120570125013, 120610502004, 120950169023, 120990079121, 120990079121, 121170206001, 120939101011, 120950170081, 120990080021]","[121050116062, 120570125013, 120090650011, 121050116062, 120710104073, 121050116062, 121170206001, 120710017033, 120950170081, 120710104073]",1000
24,3,140743.984315353,23,"[120990079121.0, 120990080021.0, 121150020102.0, 120610509023.0, 120110601204.0, 120990083011.0, 121050116062.0, 120950169023.0, 120860052023.0, 120990058081.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[121050116062, 120570125013, 120610502004, 120950169023, 120990079121, 120990079121, 121170206001, 120939101011, 120950170081, 120990080021]","[121050116062, 120570125013, 120090650011, 121050116062, 120710104073, 121050116062, 121170206001, 120710017033, 120950170081, 120710104073]",1000
25,3,140743.98979521444,24,"[120990079121.0, 120990080021.0, 121150020102.0, 120610509023.0, 120110601204.0, 120990083011.0, 121050116062.0, 120950169023.0, 120860052023.0, 120990058081.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[121050116062, 120570125013, 120610502004, 120950169023, 120990079121, 120990079121, 121170206001, 120939101011, 120950170081, 120990080021]","[121050116062, 120570125013, 120090650011, 121050116062, 120710104073, 121050116062, 121170206001, 120710017033, 120950170081, 120710104073]",1000
26,4,13933.15119181133,1,"[120479603001.0, 121050117321.0, 121050115012.0, 121030250043.0, 120310103041.0, 121030250091.0, 121030251191.0, 121030281032.0, 120010022173.0, 120710014014.0]","[120479603001.0, 120310103041.0, 120010022173.0, 120010012032.0, 120710401181.0, 121050122051.0, 120710104073.0, 120090647005.0, 121030225023.0, 120710102033.0]","[121030250091, 121050116062, 120330008001, 120510003001, 120710401151, 120150304012, 120090650011, 121030281032, 121030245091, 120570111074]","[121030250091, 121050116062, 120330008001, 120430002002, 120710401151, 120150304012, 120090650011, 120710104073, 121030245091, 120570111074]",1000
27,4,14858.438884603445,2,"[120479603001.0, 121050117321.0, 121050115012.0, 120010022173.0, 120710014014.0, 120860016021.0, 120860090102.0, 120310103041.0, 120110104021.0, 120710206001.0]","[120310103041.0, 120479603001.0, 120010022173.0, 120010012032.0, 120710401181.0, 121050122051.0, 120710104073.0, 120090647005.0, 120710102033.0, 120710019132.0]","[121050116062, 120330008001, 120510003001, 120710401151, 120150304012, 120090650011, 120510003001, 120710017033, 120730025091, 120210109053]","[121050116062, 120330008001, 120430002002, 120710401151, 120150304012, 120090650011, 120710017033, 120710401151, 120730025091, 120510003001]",1000
28,4,14799.182092807305,3,"[120479603001.0, 121050117321.0, 121050115012.0, 121030250043.0, 121030250091.0, 121030251191.0, 120310103041.0, 121030281032.0, 120010022173.0, 120710014014.0]","[120479603001.0, 120310103041.0, 120010022173.0, 120010012032.0, 120710401181.0, 121030225023.0, 121050122051.0, 120710104073.0, 120090647005.0, 120710102033.0]","[121050116062, 120330008001, 120510003001, 120710401151, 120150304012, 120090650011, 120510003001, 120710017033, 120730025091, 120210109053]","[121050116062, 120330008001, 120430002002, 120710401151, 120150304012, 120090650011, 120710017033, 120710401151, 120730025091, 120510003001]",1000
29,4,14817.588874361021,4,"[120479603001.0, 121050117321.0, 121050115012.0, 121030250043.0, 121030250091.0, 121030251191.0, 120310103041.0, 121030281032.0, 120010022173.0, 120710014014.0]","[120479603001.0, 120310103041.0, 120010022173.0, 120010012032.0, 120710401181.0, 121030225023.0, 121050122051.0, 120710104073.0, 120090647005.0, 120710102033.0]","[121050116062, 120330008001, 120510003001, 120710401151, 120150304012, 120090650011, 120510003001, 120710017033, 120730025091, 120210109053]","[121050116062, 120330008001, 120430002002, 120710401151, 120150304012, 120090650011, 120710017033, 120710401151, 120730025091, 120510003001]",1000
30,4,14815.326648768667,5,"[120479603001.0, 121050117321.0, 121050115012.0, 121030250043.0, 121030250091.0, 121030251191.0, 120310103041.0, 121030281032.0, 120010022173.0, 120710014014.0]","[120479603001.0, 120310103041.0, 120010022173.0, 120010012032.0, 120710401181.0, 121030225023.0, 121050122051.0, 120710104073.0, 120090647005.0, 120710102033.0]","[121050116062, 120330008001, 120510003001, 120710401151, 120150304012, 120090650011, 120510003001, 120710017033, 120730025091, 120210109053]","[121050116062, 120330008001, 120430002002, 120710401151, 120150304012, 120090650011, 120710017033, 120710401151, 120730025091, 120510003001]",1000
31,4,14815.61847856915,6,"[120479603001.0, 121050117321.0, 121050115012.0, 121030250043.0, 121030250091.0, 121030251191.0, 120310103041.0, 121030281032.0, 120010022173.0, 120710014014.0]","[120479603001.0, 120310103041.0, 120010022173.0, 120010012032.0, 120710401181.0, 121030225023.0, 121050122051.0, 120710104073.0, 120090647005.0, 120710102033.0]","[121050116062, 120330008001, 120510003001, 120710401151, 120150304012, 120090650011, 120510003001, 120710017033, 120730025091, 120210109053]","[121050116062, 120330008001, 120430002002, 120710401151, 120150304012, 120090650011, 120710017033, 120710401151, 120730025091, 120510003001]",1000
